Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Date Started,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
11865807,Good Omens,Terry Pratchett,"Pratchett, Terry",Neil Gaiman,60853980,9.78006E+12,0,4.25,HarperCollins e-books,Kindle Edition,385,2011,1990,,6/20/2017,,"to-read-high-priority, currently-reading","to-read-high-priority (#10), currently-reading (#3)",currently-reading,,,,1,,,0,,,,,
31799,The Problems of Philosophy,Bertrand Russell,"Russell, Bertrand",,1421903679,9.78142E+12,0,3.91,IndyPublish.com,Paperback,116,2005,1912,,1/22/2016,,currently-reading,currently-reading (#2),currently-reading,,,,1,,,0,,,,,
7964402,My Name Is Red,Orhan Pamuk,"Pamuk, Orhan",Erdağ M. Göknar,571268838,9.78057E+12,0,3.83,Faber  Faber,Paperback,671,2010,1998,,9/26/2014,,currently-reading,currently-reading (#1),currently-reading,,,,1,,,0,,,,,
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,62316095,9.78006E+12,5,4.43,Harvill Secker,Paperback,443,2014,2011,11/24/2017,9/4/2017,9/5/2017,,,read,,,,1,,,0,,,,,
95406,"Preacher, Volume 2: Until the End of the World",Garth Ennis,"Ennis, Garth",Steve Dillon,1563893126,9.78156E+12,4,4.27,Vertigo,Paperback,258,1997,1997,11/22/2017,11/22/2017,11/22/2017,,,read,,,,1,,,0,,,,,
95431,"Preacher, Volume 1: Gone to Texas",Garth Ennis,"Ennis, Garth","Steve Dillon, Joe R. Lansdale",1563892618,9.78156E+12,3,4.16,Vertigo,Paperback,336,1996,1996,11/14/2017,10/19/2017,11/13/2017,,,read,,,,1,,,0,,,,,
59980,Batman: Year One,Frank Miller,"Miller, Frank","David Mazzucchelli, Richmond Lewis, Dennis O'Neil",1401207529,9.7814E+12,5,4.22,DC Comics,Paperback,144,2005,1987,11/5/2017,11/5/2017,11/2/2017,,,read,,,,1,,,0,,,,,
32388712,The Ministry of Utmost Happiness,Arundhati Roy,"Roy, Arundhati",,067008963X,9.78067E+12,4,3.53,Hamish Hamilton,Hardcover,445,2017,2017,11/2/2017,10/20/2017,10/20/2017,,,read,,,,1,,,0,,,,,
20639917,Flash Boys,Michael   Lewis,"Lewis, Michael",,393351599,9.78039E+12,4,4.12,W. W. Norton & Company,Kindle Edition,304,2014,2014,10/20/2017,10/10/2017,10/10/2017,,,read,,,,1,,,0,,,,,
59960,"Batman: The Dark Knight Returns (The Dark Knight Saga, #1)",Frank Miller,"Miller, Frank","Klaus Janson, Lynn Varley",156389341X,9.78156E+12,5,4.25,DC Comics,Hardcover,197,2002,1986,10/8/2017,5/11/2015,10/8/2017,,,read,,,,1,,,0,,,,,
51985,Existentialism Is a Humanism,Jean-Paul Sartre,"Sartre, Jean-Paul","Arlette Elkaïm-Sartre, Annie Cohen-Solal, Carol Macomber",300115466,9.7803E+12,5,3.96,Yale University Press,Paperback,108,2007,1946,10/1/2017,9/20/2017,9/20/2017,,,read,,,,1,,,0,,,,,
472331,Watchmen,Alan Moore,"Moore, Alan","Dave Gibbons, John Higgins",930289234,9.78093E+12,5,4.35,DC Comics,Paperback,416,2005,1987,9/23/2017,5/11/2015,8/13/2017,,,read,,,,1,,,0,,,,,
21535271,The Slow Regard of Silent Things (The Kingkiller Chronicle #2.5),Patrick Rothfuss,"Rothfuss, Patrick",Nate  Taylor,756410436,9.78076E+12,5,3.92,DAW Books,Hardcover,159,2014,2014,9/11/2017,9/11/2017,9/9/2017,,,read,,,,1,,,0,,,,,
386162,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide, #1)",Douglas Adams,"Adams, Douglas",,345418913,9.78035E+12,4,4.2,Del Rey,Paperback,193,1997,1979,9/3/2017,6/8/2017,8/30/2017,,,read,,,,1,,,0,,,,,
21555972,Batman Noir: The Long Halloween,Jeph Loeb,"Loeb, Jeph",Tim Sale,1401248837,9.7814E+12,4,4.3,DC Comics,Hardcover,384,2014,1997,8/26/2017,8/24/2017,8/26/2017,,,read,,,,1,,,0,,,,,
435,"The Locked Room (The New York Trilogy, #3)",Paul Auster,"Auster, Paul",,940650762,9.78094E+12,3,3.89,Sun and Moon Press,Hardcover,179,1986,1986,8/23/2017,8/23/2017,8/21/2017,,,read,,,,1,,,0,,,,,
434,"Ghosts (The New York Trilogy, #2)",Paul Auster,"Auster, Paul",,014009735X,9.78014E+12,4,3.66,Penguin Books,Paperback,96,1987,1986,8/22/2017,8/21/2017,8/21/2017,,,read,,,,1,,,0,,,,,
432,"City of Glass (The New York Trilogy, #1)",Paul Auster,"Auster, Paul",,140097317,9.78014E+12,2,3.81,Penguin Books,Paperback,203,1987,1985,8/21/2017,8/21/2017,8/19/2017,,,read,,,,1,,,0,,,,,
31951238,Court of Lions,Jane Johnson,"Johnson, Jane",,385682654,9.78039E+12,0,3.65,Doubleday Canada,Paperback,500,2017,2017,,8/18/2017,,,,to-read,,,,1,,,0,,,,,
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,"Pirsig, Robert M.",,60589469,9.78006E+12,4,3.76,HarperTorch,Mass Market Paperback,540,2006,1974,8/13/2017,1/22/2016,7/31/2017,,,read,,,,1,,,0,,,,,
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,375704027,9.78038E+12,5,4.02,Vintage Books,Paperback,296,2000,1987,8/5/2017,9/2/2014,8/4/2017,,,read,,,,2,,,0,,,,,
227463,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,393312836,9.78039E+12,2,3.98,W. W. Norton  Company,Paperback,212,1995,1962,1/29/2017,1/3/2015,1/11/2017,,,read,"I generally do not rate books which are (or try to be) this profound so low, but for a clockwork orange, I had to. It was an okay book with a good message, but the overuse of Russian slang to show the change in society is just poor writing. I believe there were other better ways of doing it, which the author failed to execute. Even more, the ending fell flat, was very poorly explained, and felt a bit rushed while spending so much time went behind developing the introduction. Overall, I think it is a book worth reading, but it is VERY hard to read - and you should keep that in mind when you pick it up.",,,1,,,0,,,,,
157993,The Little Prince,Antoine de Saint-Exupéry,"Saint-Exupéry, Antoine de","Richard Howard, Dom Marcos Barbosa, Melina Karakosta",156012197,9.78016E+12,5,4.29,"Harcourt, Inc.",Paperback,93,2000,1943,8/2/2017,1/3/2015,7/25/2017,,,read,,,,1,,,0,,,,,
30290910,"Elantris (Elantris, #1)",Brandon Sanderson,"Sanderson, Brandon",,765350378,9.78077E+12,3,4.17,Tor Books,Kindle Edition,508,2015,2005,7/22/2017,1/23/2015,7/13/2017,,,read,,,,1,,,0,,,,,
31540817,Men Without Women,Haruki Murakami,"Murakami, Haruki",,451494628,9.78045E+12,4,3.77,Knopf Publishing Group,Hardcover,240,2017,2014,7/13/2017,5/26/2017,7/11/2017,,,read,,,,1,,,0,,,,,
18310944,The Sandman: Overture,Neil Gaiman,"Gaiman, Neil","J.H. Williams III, Dave Stewart, Todd Klein",1401248969,9.7814E+12,4,3.95,Vertigo,Hardcover,224,2015,2015,7/13/2017,7/13/2017,7/13/2017,,,read,,,,1,,,0,,,,,
